posicao,cliente,faturamento_ano_br,desconto_percentual,valor_desconto_br,faturamento_com_desconto_br
🏆 1º,Cliente_015,"R$ 82.964,76",10%,"R$ 8.296,48","R$ 74.668,28"
2º,Cliente_035,"R$ 75.402,52",10%,"R$ 7.540,25","R$ 67.862,27"
3º,Cliente_048,"R$ 64.324,93",10%,"R$ 6.432,49","R$ 57.892,44"
4º,Cliente_024,"R$ 57.381,21",10%,"R$ 5.738,12","R$ 51.643,09"
5º,Cliente_006,"R$ 50.249,74",10%,"R$ 5.024,97","R$ 45.224,77"
6º,Cliente_004,"R$ 50.106,56",10%,"R$ 5.010,66","R$ 45.095,90"
7º,Cliente_023,"R$ 46.863,73",5%,"R$ 2.343,19","R$ 44.520,54"
8º,Cliente_030,"R$ 45.659,41",5%,"R$ 2.282,97","R$ 43.376,44"
9º,Cliente_032,"R$ 45.532,00",5%,"R$ 2.276,60","R$ 43.255,40"
10º,Cliente_044,"R$ 43.513,88",5%,"R$ 2.175,69","R$ 41.338,19"
