mes_ano,posicao,cliente,valor_comprado
janeiro/2024,🏆 1º,Cliente_032,"R$ 15.019,20"
janeiro/2024,2º,Cliente_011,"R$ 11.259,06"
janeiro/2024,3º,Cliente_022,"R$ 8.316,91"
fevereiro/2024,🏆 1º,Cliente_024,"R$ 15.591,77"
fevereiro/2024,2º,Cliente_035,"R$ 15.066,27"
fevereiro/2024,3º,Cliente_015,"R$ 12.544,17"
março/2024,🏆 1º,Cliente_046,"R$ 22.217,52"
março/2024,2º,Cliente_002,"R$ 20.034,63"
março/2024,3º,Cliente_023,"R$ 16.150,96"
abril/2024,🏆 1º,Cliente_016,"R$ 24.570,08"
abril/2024,2º,Cliente_035,"R$ 15.933,35"
abril/2024,3º,Cliente_032,"R$ 13.165,96"
maio/2024,🏆 1º,Cliente_015,"R$ 34.145,43"
maio/2024,2º,Cliente_028,"R$ 28.862,50"
maio/2024,3º,Cliente_048,"R$ 22.440,36"
junho/2024,🏆 1º,Cliente_030,"R$ 22.564,17"
junho/2024,2º,Cliente_024,"R$ 20.978,30"
junho/2024,3º,Cliente_048,"R$ 16.286,06"
julho/2024,🏆 1º,Cliente_032,"R$ 17.346,84"
julho/2024,2º,Cliente_024,"R$ 15.341,06"
julho/2024,3º,Cliente_037,"R$ 12.324,16"
agosto/2024,🏆 1º,Cliente_005,"R$ 23.302,72"
agosto/2024,2º,Cliente_022,"R$ 22.917,48"
agosto/2024,3º,Cliente_004,"R$ 19.089,45"
setembro/2024,🏆 1º,Cliente_017,"R$ 30.654,56"
setembro/2024,2º,Cliente_044,"R$ 23.733,30"
setembro/2024,3º,Cliente_023,"R$ 15.099,60"
outubro/2024,🏆 1º,Cliente_006,"R$ 31.142,56"
outubro/2024,2º,Cliente_048,"R$ 22.842,40"
outubro/2024,3º,Cliente_039,"R$ 20.786,35"
novembro/2024,🏆 1º,Cliente_015,"R$ 32.776,76"
novembro/2024,2º,Cliente_004,"R$ 12.026,22"
novembro/2024,3º,Cliente_023,"R$ 7.703,16"
dezembro/2024,🏆 1º,Cliente_018,"R$ 18.214,94"
dezembro/2024,2º,Cliente_026,"R$ 16.113,58"
dezembro/2024,3º,Cliente_036,"R$ 13.846,70"
