cliente,total_gasto,quantidade_pecas_compradas,quantidade_de_compras,segmento
Cliente_015,82964.76,52,8,Ouro
Cliente_035,75402.52,44,7,Ouro
Cliente_048,64324.93,33,7,Ouro
Cliente_024,57381.21,56,8,Ouro
Cliente_006,50249.74,43,6,Ouro
Cliente_004,50106.56,25,5,Ouro
Cliente_023,46863.73,26,6,Ouro
Cliente_030,45659.41,26,5,Ouro
Cliente_032,45532.0,26,4,Ouro
Cliente_044,43513.88,36,6,Ouro
Cliente_016,42754.07,29,5,Ouro
Cliente_017,41983.05,23,4,Ouro
Cliente_028,37523.1,20,3,Ouro
Cliente_022,36419.78,29,5,Ouro
Cliente_027,34661.71,24,5,Ouro
Cliente_039,34473.76,24,4,Ouro
Cliente_005,33597.8,38,6,Ouro
Cliente_029,33102.44,26,6,Ouro
Cliente_021,30646.51,39,8,Ouro
Cliente_043,25137.72,25,7,Ouro
Cliente_002,24005.6,12,3,Ouro
Cliente_045,23946.48,33,5,Ouro
Cliente_046,23702.88,18,3,Ouro
Cliente_001,22464.64,23,4,Ouro
Cliente_042,21768.86,29,4,Ouro
Cliente_047,21011.84,19,3,Ouro
Cliente_018,20151.72,11,3,Ouro
Cliente_026,19532.88,17,3,Ouro
Cliente_014,19206.61,19,4,Ouro
Cliente_036,17069.1,19,5,Ouro
Cliente_008,16220.77,16,4,Ouro
Cliente_037,15955.06,16,3,Ouro
Cliente_007,14507.44,30,6,Prata
Cliente_011,14371.66,13,2,Prata
Cliente_025,14327.01,7,3,Prata
Cliente_041,14174.79,12,2,Prata
Cliente_033,13812.05,19,3,Prata
Cliente_020,10974.53,7,1,Prata
Cliente_019,10238.57,10,3,Prata
Cliente_003,10071.28,16,3,Prata
Cliente_040,8618.6,11,2,Prata
Cliente_050,3933.3,2,1,Bronze
Cliente_010,3694.54,14,2,Bronze
Cliente_013,3684.98,2,1,Bronze
Cliente_009,2030.52,6,2,Bronze
Cliente_038,1366.12,10,2,Bronze
Cliente_049,1337.52,7,2,Bronze
Cliente_031,935.85,3,1,Bronze
Cliente_034,280.44,1,1,Bronze
